player_name,name_key,tier,rank,trait_key,trait_weight,raw_source_value,cleaned_value,initial_status,status,imputation_source,imputed_value,final_value
"Scheffler, Scottie",SCHEFFLER_SCOTTIE,1,1,app_wedge,0.22,100.0,100.0,observed_valid,observed_valid,,,100.0
"Scheffler, Scottie",SCHEFFLER_SCOTTIE,1,1,app_100_150,0.12,100.0,100.0,observed_valid,observed_valid,,,100.0
"Scheffler, Scottie",SCHEFFLER_SCOTTIE,1,1,app_150_200,0.06,100.0,100.0,observed_valid,observed_valid,,,100.0
"Scheffler, Scottie",SCHEFFLER_SCOTTIE,1,1,ott_accuracy,0.14,85.2,85.2,observed_valid,observed_valid,,,85.2
"Scheffler, Scottie",SCHEFFLER_SCOTTIE,1,1,ott_distance,0.05,97.7,97.7,observed_valid,observed_valid,,,97.7
"Scheffler, Scottie",SCHEFFLER_SCOTTIE,1,1,putt_short_conv,0.16,86.3,86.3,observed_valid,observed_valid,,,86.3
"Scheffler, Scottie",SCHEFFLER_SCOTTIE,1,1,putt_lag,0.1,76.7,76.7,observed_valid,observed_valid,,,76.7
"Scheffler, Scottie",SCHEFFLER_SCOTTIE,1,1,arg_rough,0.07,80.1,80.1,observed_valid,observed_valid,,,80.1
"Scheffler, Scottie",SCHEFFLER_SCOTTIE,1,1,arg_bunker,0.05,67.0,67.0,observed_valid,observed_valid,,,67.0
"Scheffler, Scottie",SCHEFFLER_SCOTTIE,1,1,par5_scoring,0.03,100.0,100.0,observed_valid,observed_valid,,,100.0
"Fleetwood, Tommy",FLEETWOOD_TOMMY,2,2,app_wedge,0.22,72.0,72.0,observed_valid,observed_valid,,,72.0
"Fleetwood, Tommy",FLEETWOOD_TOMMY,2,2,app_100_150,0.12,72.4,72.4,observed_valid,observed_valid,,,72.4
"Fleetwood, Tommy",FLEETWOOD_TOMMY,2,2,app_150_200,0.06,72.4,72.4,observed_valid,observed_valid,,,72.4
"Fleetwood, Tommy",FLEETWOOD_TOMMY,2,2,ott_accuracy,0.14,91.4,91.4,observed_valid,observed_valid,,,91.4
"Fleetwood, Tommy",FLEETWOOD_TOMMY,2,2,ott_distance,0.05,75.9,75.9,observed_valid,observed_valid,,,75.9
"Fleetwood, Tommy",FLEETWOOD_TOMMY,2,2,putt_short_conv,0.16,76.8,76.8,observed_valid,observed_valid,,,76.8
"Fleetwood, Tommy",FLEETWOOD_TOMMY,2,2,putt_lag,0.1,65.9,65.9,observed_valid,observed_valid,,,65.9
"Fleetwood, Tommy",FLEETWOOD_TOMMY,2,2,arg_rough,0.07,72.0,72.0,observed_valid,observed_valid,,,72.0
"Fleetwood, Tommy",FLEETWOOD_TOMMY,2,2,arg_bunker,0.05,64.2,64.2,observed_valid,observed_valid,,,64.2
"Fleetwood, Tommy",FLEETWOOD_TOMMY,2,2,par5_scoring,0.03,75.7,75.7,observed_valid,observed_valid,,,75.7
"Henley, Russell",HENLEY_RUSSELL,2,3,app_wedge,0.22,78.3,78.3,observed_valid,observed_valid,,,78.3
"Henley, Russell",HENLEY_RUSSELL,2,3,app_100_150,0.12,79.1,79.1,observed_valid,observed_valid,,,79.1
"Henley, Russell",HENLEY_RUSSELL,2,3,app_150_200,0.06,77.4,77.4,observed_valid,observed_valid,,,77.4
"Henley, Russell",HENLEY_RUSSELL,2,3,ott_accuracy,0.14,100.0,100.0,observed_valid,observed_valid,,,100.0
"Henley, Russell",HENLEY_RUSSELL,2,3,ott_distance,0.05,59.6,59.6,observed_valid,observed_valid,,,59.6
"Henley, Russell",HENLEY_RUSSELL,2,3,putt_short_conv,0.16,66.6,66.6,observed_valid,observed_valid,,,66.6
"Henley, Russell",HENLEY_RUSSELL,2,3,putt_lag,0.1,62.0,62.0,observed_valid,observed_valid,,,62.0
"Henley, Russell",HENLEY_RUSSELL,2,3,arg_rough,0.07,66.9,66.9,observed_valid,observed_valid,,,66.9
"Henley, Russell",HENLEY_RUSSELL,2,3,arg_bunker,0.05,57.8,57.8,observed_valid,observed_valid,,,57.8
"Henley, Russell",HENLEY_RUSSELL,2,3,par5_scoring,0.03,73.7,73.7,observed_valid,observed_valid,,,73.7
"Fitzpatrick, Matt",FITZPATRICK_MATT,2,4,app_wedge,0.22,84.1,84.1,observed_valid,observed_valid,,,84.1
"Fitzpatrick, Matt",FITZPATRICK_MATT,2,4,app_100_150,0.12,84.1,84.1,observed_valid,observed_valid,,,84.1
"Fitzpatrick, Matt",FITZPATRICK_MATT,2,4,app_150_200,0.06,83.6,83.6,observed_valid,observed_valid,,,83.6
"Fitzpatrick, Matt",FITZPATRICK_MATT,2,4,ott_accuracy,0.14,62.8,62.8,observed_valid,observed_valid,,,62.8
"Fitzpatrick, Matt",FITZPATRICK_MATT,2,4,ott_distance,0.05,66.8,66.8,observed_valid,observed_valid,,,66.8
"Fitzpatrick, Matt",FITZPATRICK_MATT,2,4,putt_short_conv,0.16,54.3,54.3,observed_valid,observed_valid,,,54.3
"Fitzpatrick, Matt",FITZPATRICK_MATT,2,4,putt_lag,0.1,38.8,38.8,observed_valid,observed_valid,,,38.8
"Fitzpatrick, Matt",FITZPATRICK_MATT,2,4,arg_rough,0.07,96.1,96.1,observed_valid,observed_valid,,,96.1
"Fitzpatrick, Matt",FITZPATRICK_MATT,2,4,arg_bunker,0.05,90.8,90.8,observed_valid,observed_valid,,,90.8
"Fitzpatrick, Matt",FITZPATRICK_MATT,2,4,par5_scoring,0.03,82.0,82.0,observed_valid,observed_valid,,,82.0
"Young, Cameron",YOUNG_CAMERON,3,5,app_wedge,0.22,73.3,73.3,observed_valid,observed_valid,,,73.3
"Young, Cameron",YOUNG_CAMERON,3,5,app_100_150,0.12,73.1,73.1,observed_valid,observed_valid,,,73.1
"Young, Cameron",YOUNG_CAMERON,3,5,app_150_200,0.06,73.5,73.5,observed_valid,observed_valid,,,73.5
"Young, Cameron",YOUNG_CAMERON,3,5,ott_accuracy,0.14,64.5,64.5,observed_valid,observed_valid,,,64.5
"Young, Cameron",YOUNG_CAMERON,3,5,ott_distance,0.05,90.5,90.5,observed_valid,observed_valid,,,90.5
"Young, Cameron",YOUNG_CAMERON,3,5,putt_short_conv,0.16,70.0,70.0,observed_valid,observed_valid,,,70.0
"Young, Cameron",YOUNG_CAMERON,3,5,putt_lag,0.1,65.9,65.9,observed_valid,observed_valid,,,65.9
"Young, Cameron",YOUNG_CAMERON,3,5,arg_rough,0.07,64.3,64.3,observed_valid,observed_valid,,,64.3
"Young, Cameron",YOUNG_CAMERON,3,5,arg_bunker,0.05,54.1,54.1,observed_valid,observed_valid,,,54.1
"Young, Cameron",YOUNG_CAMERON,3,5,par5_scoring,0.03,75.9,75.9,observed_valid,observed_valid,,,75.9
"Aberg, Ludvig",ABERG_LUDVIG,3,6,app_wedge,0.22,76.8,76.8,observed_valid,observed_valid,,,76.8
"Aberg, Ludvig",ABERG_LUDVIG,3,6,app_100_150,0.12,77.7,77.7,observed_valid,observed_valid,,,77.7
"Aberg, Ludvig",ABERG_LUDVIG,3,6,app_150_200,0.06,74.6,74.6,observed_valid,observed_valid,,,74.6
"Aberg, Ludvig",ABERG_LUDVIG,3,6,ott_accuracy,0.14,67.8,67.8,observed_valid,observed_valid,,,67.8
"Aberg, Ludvig",ABERG_LUDVIG,3,6,ott_distance,0.05,91.9,91.9,observed_valid,observed_valid,,,91.9
