Last Name,First Name,Fairway 50-100 (shots),Fairway 50-100 (value),Fairway 100-150 (shots),Fairway 100-150 (value),Fairway 150-200 (shots),Fairway 150-200 (value),Fairway over 200 (shots),Fairway over 200 (value),Rough-Under 150 (shots),Rough-Under 150 (value),Rough-Over 150 (shots),Rough-Over 150 (value)
SCOTT,ADAM,62,0.048,220,0.024,328,0.041,160,0.055,91,0.025,125,0.028
POWER,SEAMUS,66,-0.01,289,0.022,407,-0.039,163,0.017,130,0.042,119,-0.055
RILEY,DAVIS,81,-0.021,205,0.022,280,-0.046,125,-0.101,134,-0.019,144,-0.014
CAULEY,BUD,105,0.071,304,0.022,447,0.031,213,0.022,116,-0.09,162,-0.014
LASHLEY,NATE,21,0.005,43,0.022,57,-0.019,29,-0.001,15,0.156,—,—
SUBER,JACKSON,82,-0.054,222,0.022,318,-0.034,151,0.061,129,-0.043,87,0.073
ROZNER,ANTOINE,25,0.023,98,0.022,139,-0.006,66,0.086,42,0.013,42,-0.019
BLAIR,ZAC,78,0.109,178,0.021,269,-0.03,132,0.118,75,0.053,63,0.006
WATSON,BUBBA,65,0.088,210,0.021,272,-0.003,137,-0.044,111,0,70,-0.064
FOWLER,RICKIE,79,-0.029,296,0.019,432,0.001,203,0.027,120,0.048,133,0.017
NA,KEVIN,24,-0.028,69,0.019,80,-0.005,37,-0.033,25,0.039,—,—
JOHNSON,ZACH,43,0.038,122,0.019,168,-0.045,70,0.022,26,0.019,29,0.034
NORLANDER,HENRIK,36,-0.011,137,0.018,222,-0.004,89,-0.03,62,0.016,67,0.077
SMALLEY,ALEX,102,0.025,316,0.018,433,0.001,184,0.049,128,0.047,144,0.003
DOU,ZECHENG,48,0.061,120,0.017,186,0.03,77,0.097,88,-0.065,97,-0.015
BROWN,BLADES,21,-0.081,66,0.017,94,0.064,43,-0.033,25,0.056,34,-0.038
GOTTERUP,CHRIS,141,0.042,338,0.017,427,0.011,248,-0.002,200,0.067,193,0.026
HODGES,LEE,72,-0.06,249,0.017,349,0.023,155,0.075,93,0.031,104,-0.065
GLOVER,LUCAS,77,0.112,243,0.017,357,0.006,161,-0.028,72,0.059,103,0.051
NESMITH,MATT,24,-0.049,65,0.016,80,-0.057,41,-0.057,29,-0.162,—,—
MCKIBBIN,TOM,65,0.071,245,0.016,312,-0.013,143,-0.03,111,-0.02,59,-0.018
NOREN,ALEX,81,-0.075,220,0.016,397,-0.008,204,0.021,91,0.036,125,0.053
MERONK,ADRIAN,57,-0.059,193,0.015,250,-0.002,120,0.009,121,-0.055,102,-0.029
GRILLO,EMILIANO,82,-0.005,345,0.015,466,0.011,227,0.043,113,0.003,106,-0.012
ECHAVARRIA,NICO,99,-0.047,287,0.014,436,0.022,213,-0.038,130,0.064,143,0.036
DUNCAN,TYLER,—,—,52,0.014,—,—,32,-0.143,11,-0.132,—,—
AN,BYEONG HUN,93,0.011,202,0.014,266,-0.023,142,-0.001,174,0.05,105,-0.084
PENDRITH,TAYLOR,110,-0.049,277,0.013,357,0.005,189,0.008,141,0.014,151,0.011
HIGGS,HARRY,57,0.001,149,0.013,201,-0.022,112,0.014,84,0.022,62,0.04
SALINDA,ISAIAH,59,0.009,152,0.013,193,-0.012,103,-0.036,76,-0.047,59,-0.03
REITAN,KRISTOFFER,67,0.011,234,0.013,303,-0.002,170,-0.01,103,0.066,101,0.015
SPAUN,J.J.,91,0.064,309,0.012,429,0.05,205,0.08,109,0.071,111,0.096
FLEETWOOD,TOMMY,74,0.051,260,0.011,404,0.023,217,0.075,79,0.006,116,-0.029
MACINTYRE,ROBERT,77,-0.046,303,0.01,439,-0.028,209,0.013,150,0.02,143,-0.011
HIGGO,GARRICK,89,-0.062,256,0.01,313,0.007,149,0.003,139,-0.012,116,-0.094
HOJGAARD,RASMUS,86,-0.03,204,0.01,261,0.004,138,0.054,141,-0.007,130,-0.004
GOOCH,TALOR,52,-0.092,209,0.01,289,0.003,141,0.088,77,0.065,85,0.053
ORMSBY,WADE,14,-0.042,65,0.01,70,-0.132,28,-0.122,19,0.112,—,—
STREELMAN,KEVIN,38,0.022,149,0.01,175,0.005,68,-0.004,52,-0.014,68,-0.09
WALLACE,MATT,75,0.097,196,0.009,375,0.019,147,-0.005,114,0.016,116,-0.024
HIGHSMITH,JOE,74,-0.003,301,0.009,359,-0.027,163,0.014,137,-0.014,134,-0.027
MITCHELL,KEITH,137,0.016,256,0.009,382,0.027,213,0.008,202,0.008,143,0.02
SKINNS,DAVID,47,-0.049,190,0.007,238,0.047,112,-0.023,79,0.051,61,0.016
HOMA,MAX,91,0.035,265,0.007,385,-0.011,193,0.036,134,0.012,132,0.011
ANCER,ABRAHAM,62,0.02,257,0.007,250,0.039,128,0.016,74,0.033,74,0.063
MCGREEVY,MAX,65,0.004,291,0.006,424,-0.01,195,0.037,109,-0.028,128,0.027
YOUNG,CARSON,47,-0.03,177,0.006,203,-0.006,106,0.033,64,0.066,57,-0.03
HISATSUNE,RYO,119,-0.007,376,0.006,481,0.001,236,0.032,156,0.026,143,0.016
RAHM,JON,86,0.104,266,0.006,304,0.037,164,0.12,140,0.02,96,0.073
MCDOWELL,GRAEME,68,-0.063,233,0.005,272,0.013,133,0.038,116,-0.004,84,-0.027
NYHOLM,PONTUS,35,0.052,88,0.005,145,-0.073,56,-0.026,85,-0.083,69,0.024
COODY,PIERCESON,85,0.074,296,0.005,406,-0.006,196,0.015,152,0,131,-0.042
LEBIODA,HANK,27,0.105,135,0.005,188,0.046,82,-0.006,66,0.001,80,-0.062
YELLAMARAJU,SUDARSHAN,42,0.039,236,0.005,293,-0.023,134,0.075,101,0.043,100,0.013
PEREZ,VICTOR,72,-0.079,237,0.004,349,-0.006,173,0.072,108,0.031,94,-0.014
KIM,CHAN,48,0.004,171,0.004,205,0.021,109,-0.004,76,-0.037,63,-0.021
VARNER III,HAROLD,66,-0.054,178,0.004,247,0.03,136,0.041,118,0.021,85,0.042
VAN ROOYEN,ERIK,70,-0.022,201,0.004,288,-0.066,130,-0.048,107,0.008,111,0.012
BUCKLEY,HAYDEN,25,0.04,93,0.004,113,-0.02,50,-0.029,41,-0.021,19,-0.092
OLESEN,THORBJORN,74,0.019,240,0.004,326,-0.02,133,0.034,111,0.051,116,-0.03
COOK,AUSTIN,18,-0.013,51,0.003,72,-0.101,36,-0.099,22,-0.042,22,0.111
KIM,ANTHONY,57,0.027,196,0.003,261,0.002,126,-0.001,122,0.027,86,-0.006
YU,KEVIN,99,-0.01,236,0.002,334,0.019,150,0.039,117,-0.029,96,-0.066
DAY,JASON,65,0.04,202,0.002,330,-0.048,162,-0.075,103,0.062,111,0.004
NOVAK,ANDREW,126,0.043,240,0.001,458,0.011,234,0.003,135,-0.029,180,0.024
BEZUIDENHOUT,CHRISTIAAN,85,0.099,268,0.001,414,0.014,196,0.012,102,0.029,115,0.017
RODGERS,PATRICK,105,-0.093,329,0.001,470,0.002,242,-0.01,187,-0.003,212,0.067
KNAPP,JAKE,60,0.031,226,0.001,306,-0.031,148,0.02,119,0.035,100,0.044
ONISHI,KAITO,30,-0.068,84,0.001,111,-0.041,60,0.035,50,0.054,37,-0.046
JARVIS,CASEY,16,0.177,47,0.001,62,0.021,34,0.091,22,-0.012,26,0.061
WESTWOOD,LEE,68,-0.062,198,0,248,-0.01,124,0.006,63,0.05,78,-0.008
JANG,YUBIN,25,-0.019,65,0,56,-0.072,32,0.022,39,0.03,25,-0.065
REAVIE,CHEZ,17,-0.014,50,0,56,0.039,28,-0.047,23,0.094,—,—
CROWE,TRACE,16,0.047,52,0,56,0.007,—,—,30,-0.094,23,-0.09
LEE,MIN WOO,71,0.021,235,0,311,-0.009,158,0.049,113,-0.038,109,-0.04
SVENSSON,JESPER,88,0.091,197,0,250,-0.038,136,-0.025,125,0.079,89,-0.048
LEISHMAN,MARC,61,-0.015,209,-0.001,289,-0.001,139,0.001,102,-0.014,82,0.07
LAHIRI,ANIRBAN,56,-0.055,220,-0.001,246,-0.052,135,0.007,112,0.011,59,-0.068
KOIVUN,JACKSON,20,-0.135,99,-0.002,101,0.09,58,0.031,34,-0.024,22,-0.057
PHILLIPS,CHANDLER,80,0.01,248,-0.002,323,-0.07,154,-0.047,124,-0.021,114,-0.066
STEVENS,SAM,116,0.056,335,-0.002,471,0.007,219,-0.032,178,0.048,138,0.026
HADWIN,ADAM,56,-0.028,165,-0.002,191,-0.043,93,-0.016,65,-0.139,55,-0.06
GREYSERMAN,MAX,79,-0.046,235,-0.003,330,-0.007,162,0.046,155,0.029,114,-0.017
SCHENK,ADAM,112,-0.023,227,-0.003,333,-0.011,155,-0.039,152,-0.029,121,-0.009
BROWN,DAN,58,0.075,134,-0.004,218,-0.011,107,0.056,84,-0.048,72,-0.01
ASAJI,YOSUKE,30,-0.059,142,-0.004,190,-0.022,82,0,87,-0.035,59,-0.025
MCCARTHY,DENNY,86,0.07,278,-0.004,444,-0.007,216,0.017,115,-0.024,172,0.025
THORBJORNSEN,MICHAEL,124,0.032,334,-0.004,428,-0.008,214,0.035,150,-0.011,115,0.029
WOODLAND,GARY,108,0.022,237,-0.004,380,0.01,194,0.092,143,0.006,130,0.02
POTGIETER,ALDRICH,80,-0.063,198,-0.004,284,-0.009,151,0.098,131,-0.062,122,0.032
VENTURA,KRIS,78,-0.087,204,-0.004,238,-0.043,123,0.034,103,-0.018,73,0.003
SILVERMAN,BEN,59,-0.005,202,-0.005,227,-0.025,116,-0.055,67,0.085,68,-0.056
VILIPS,KARL,76,0.025,219,-0.006,305,0,121,0.019,143,-0.002,129,-0.049
LOWER,JUSTIN,55,0.014,207,-0.006,286,-0.032,128,-0.04,75,0.031,77,0
DUNLAP,NICK,55,0.02,138,-0.006,217,-0.003,92,0.071,92,0.013,96,0.039
PARRY,JOHN,69,0.034,212,-0.007,332,0.043,150,0.021,93,0.068,101,0.022
BYRD,JONATHAN,23,-0.003,57,-0.007,68,-0.096,39,-0.101,32,-0.042,30,0.07
DECHAMBEAU,BRYSON,77,0.018,231,-0.008,277,0.011,154,0.058,110,-0.049,86,-0.013
RAMEY,CHAD,109,0.062,300,-0.008,379,-0.017,169,-0.008,133,-0.022,130,-0.073
FISK,STEVEN,105,0.04,281,-0.01,397,-0.004,167,-0.01,164,-0.007,123,-0.053
ROSENMUELLER,THOMAS,63,-0.008,139,-0.01,164,0.064,93,0.041,72,-0.017,34,0.065
ORTIZ,CARLOS,76,-0.004,211,-0.01,275,-0.006,139,-0.005,118,0.022,107,0.05
GRIFFIN,BEN,103,0.056,303,-0.01,466,-0.026,227,-0.008,151,0.034,177,0.061
HARRINGTON,PADRAIG,—,—,51,-0.011,65,0.007,37,-0.028,31,0.123,37,0.046
PIETERS,THOMAS,81,0.031,195,-0.011,233,0.014,125,0.029,106,0.021,72,0.028
BRENNAN,MICHAEL,78,0.101,212,-0.011,292,-0.031,133,0.084,116,-0.017,73,-0.014
SONG,YOUNGHAN,33,0,143,-0.011,230,-0.025,107,0.008,58,0.004,44,-0.017
KIM,MINKYU,46,-0.024,144,-0.012,178,-0.089,91,-0.119,75,-0.063,62,-0.131
ROZO,MARCELO,32,0.099,99,-0.012,155,0.008,66,-0.042,34,-0.016,47,0.006
THORNBERRY,BRADEN,40,0.02,93,-0.013,122,-0.11,56,-0.102,66,-0.016,46,-0.053
SMITH,CAMERON,71,-0.02,244,-0.013,292,-0.04,141,-0.012,121,0.002,127,0.022
MOUW,WILLIAM,71,-0.055,248,-0.013,373,0,176,0.087,119,0.023,114,-0.024
VALIMAKI,SAMI,51,0.009,216,-0.013,344,0.007,139,0.02,90,0.05,111,0.026
SMITH,JORDAN,55,-0.002,202,-0.014,321,0.01,136,0.065,71,0.085,114,-0.028
CANTER,LAURIE,48,0,200,-0.014,231,0.011,121,0.035,75,0.034,69,0.029
PAVON,MATTHIEU,44,-0.098,234,-0.014,303,-0.038,139,0.024,102,0.031,118,-0.019
FINAU,TONY,75,-0.029,256,-0.015,361,0.01,165,-0.044,126,-0.024,159,0.014
DAVIS,CAM,44,-0.001,132,-0.015,223,-0.026,92,-0.038,65,0.026,101,-0.104
VALDES,BRENDAN,14,-0.079,55,-0.016,56,0.044,—,—,17,-0.075,19,-0.172
LI,HAOTONG,73,0.012,187,-0.017,248,0.016,129,0.018,94,0.059,97,0.032
LEE,DANNY,54,-0.005,190,-0.018,248,-0.037,133,-0.08,101,0.004,92,-0.049
KOEPKA,BROOKS,70,0.053,214,-0.018,269,-0.003,134,0.022,117,-0.002,93,0.092
TRINGALE,CAMERON,73,0.108,203,-0.018,258,-0.026,129,0.013,93,0.044,89,-0.007
MULLINAX,TREY,35,0.102,92,-0.018,142,0.019,63,-0.042,74,0.039,41,0.044
LA SASSO,MICHAEL,61,-0.12,160,-0.018,218,-0.036,109,0.01,108,-0.063,89,-0.058
STEELE,BRENDAN,56,-0.019,233,-0.018,258,0.037,136,0.024,87,-0.062,74,-0.028
FISHBURN,PATRICK,86,-0.019,242,-0.019,311,0.01,158,0.035,125,0.042,100,-0.045
BURMESTER,DEAN,83,0.03,202,-0.019,256,-0.036,128,-0.001,129,-0.019,96,0
KANAYA,TAKUMI,97,0.04,321,-0.019,416,-0.076,190,-0.039,105,0.033,113,-0.018
DETRY,THOMAS,57,-0.039,234,-0.019,294,0.013,154,0.043,103,0.01,95,0.018
MICKELSON,PHIL,26,0.005,75,-0.019,110,-0.073,63,0.035,48,0.001,38,0.072
POSTON,J.T.,92,-0.021,270,-0.02,417,0.021,201,0.022,94,0.056,132,0.015
GARCIA,SERGIO,89,-0.004,242,-0.02,298,0.028,166,-0.053,97,0.061,79,0.022
WIDING,TIM,27,-0.166,53,-0.02,72,-0.06,40,0.008,32,-0.046,20,-0.046
